"","00-04","05-09","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70+"
"00-04",1.48314606741573,0.719101123595506,0.224719101123595,0.235955056179775,0.51685393258427,0.49438202247191,0.876404494382023,0.741573033707865,0.359550561797753,0.337078651685393,0.359550561797753,0.258426966292135,0.213483146067416,0.157303370786517,0.292134831460674
"05-09",0.315217391304348,1.77173913043478,0.41304347826087,0.304347826086957,0.217391304347826,0.358695652173913,0.554347826086957,0.576086956521739,0.521739130434783,0.293478260869565,0.173913043478261,0.217391304347826,0.206521739130435,0.16304347826087,0.130434782608696
"10-14",0.0818181818181818,0.236363636363636,2.44545454545455,0.590909090909091,0.163636363636364,0.190909090909091,0.245454545454545,0.5,0.781818181818182,0.290909090909091,0.254545454545455,0.118181818181818,0.163636363636364,0.145454545454545,0.218181818181818
"15-19",0.0247933884297521,0.115702479338843,0.40495867768595,3.00826446280992,0.950413223140496,0.239669421487603,0.0991735537190083,0.396694214876033,0.429752066115702,0.413223140495868,0.223140495867769,0.206611570247934,0.0413223140495868,0.0743801652892562,0.0991735537190083
"20-24",0.0769230769230769,0.00854700854700855,0.0683760683760684,0.658119658119658,1.74358974358974,0.658119658119658,0.282051282051282,0.264957264957265,0.299145299145299,0.418803418803419,0.299145299145299,0.179487179487179,0.0598290598290598,0.0598290598290598,0.128205128205128
"25-29",0.266666666666667,0.146666666666667,0.12,0.173333333333333,0.96,1.10666666666667,0.773333333333333,0.293333333333333,0.28,0.36,0.266666666666667,0.266666666666667,0.24,0.0666666666666667,0.12
"30-34",0.385964912280702,0.228070175438596,0.140350877192982,0.0701754385964912,0.263157894736842,0.526315789473684,0.842105263157895,0.842105263157895,0.526315789473684,0.157894736842105,0.421052631578947,0.245614035087719,0.280701754385965,0.140350877192982,0.210526315789474
"35-39",0.202898550724638,0.463768115942029,0.507246376811594,0.36231884057971,0.144927536231884,0.202898550724638,0.492753623188406,1.10144927536232,0.666666666666667,0.289855072463768,0.173913043478261,0.173913043478261,0.260869565217391,0.188405797101449,0.173913043478261
"40-44",0.183908045977011,0.206896551724138,0.597701149425287,0.781609195402299,0.35632183908046,0.206896551724138,0.333333333333333,0.666666666666667,0.919540229885057,0.666666666666667,0.32183908045977,0.137931034482759,0.195402298850575,0.160919540229885,0.298850574712644
"45-49",0.074468085106383,0.074468085106383,0.319148936170213,0.914893617021277,0.287234042553192,0.361702127659574,0.351063829787234,0.393617021276596,0.627659574468085,0.851063829787234,0.563829787234043,0.24468085106383,0.0957446808510638,0.106382978723404,0.180851063829787
"50-54",0.188888888888889,0.188888888888889,0.133333333333333,0.211111111111111,0.255555555555556,0.4,0.344444444444444,0.355555555555556,0.388888888888889,0.544444444444444,0.855555555555556,0.455555555555556,0.3,0.1,0.177777777777778
"55-59",0.0657894736842105,0.105263157894737,0.0526315789473684,0.118421052631579,0.25,0.263157894736842,0.342105263157895,0.394736842105263,0.407894736842105,0.421052631578947,0.513157894736842,0.776315789473684,0.342105263157895,0.131578947368421,0.157894736842105
"60-64",0.0952380952380952,0.142857142857143,0.0595238095238095,0.0952380952380952,0.154761904761905,0.202380952380952,0.154761904761905,0.166666666666667,0.273809523809524,0.261904761904762,0.25,0.55952380952381,0.630952380952381,0.345238095238095,0.25
"65-69",0.027027027027027,0.0945945945945946,0.135135135135135,0.0945945945945946,0.108108108108108,0.135135135135135,0.202702702702703,0.22972972972973,0.418918918918919,0.202702702702703,0.297297297297297,0.216216216216216,0.594594594594595,0.662162162162162,0.621621621621622
"70+",0.0833333333333333,0.0833333333333333,0.0166666666666667,0.0833333333333333,0.0333333333333333,0.0666666666666667,0.15,0.166666666666667,0.183333333333333,0.133333333333333,0.15,0.116666666666667,0.233333333333333,0.45,0.75
